X	Y	eta_m
-825.000000	1175.000000	0.100000
-825.000000	1225.000000	0.100000
-825.000000	1275.000000	0.100000
-825.000000	1325.000000	0.100000
-825.000000	1375.000000	0.100000
-825.000000	1425.000000	0.100000
-825.000000	1475.000000	0.100000
-825.000000	1525.000000	0.100000
-825.000000	1575.000000	0.100000
-825.000000	1625.000000	0.117006
-825.000000	1675.000000	0.141022
-825.000000	1725.000000	0.183126
-825.000000	1775.000000	0.218140
-825.000000	1825.000000	0.258073
-825.000000	1875.000000	0.292042
-825.000000	1925.000000	0.310625
-825.000000	1975.000000	0.321077
-775.000000	-1975.000000	0.100000
-775.000000	-1925.000000	0.100000
-775.000000	-1875.000000	0.106670
-775.000000	-1825.000000	0.100000
-775.000000	-1775.000000	0.095498
-775.000000	-1725.000000	0.125253
-775.000000	-1675.000000	0.120278
-775.000000	-1625.000000	0.138495
-775.000000	-1575.000000	0.131423
-775.000000	-1525.000000	0.165824
-775.000000	-1475.000000	0.187349
-775.000000	-1425.000000	0.182125
-775.000000	-1375.000000	0.200880
-775.000000	-1325.000000	0.194419
-775.000000	-1275.000000	0.177884
-775.000000	-1225.000000	0.182613
-775.000000	-1175.000000	0.163598
-775.000000	-1125.000000	0.147042
-775.000000	-1075.000000	0.129537
-775.000000	-1025.000000	0.109007
-775.000000	-975.000000	0.100000
-775.000000	-925.000000	0.102923
-775.000000	-875.000000	0.102099
-775.000000	-825.000000	0.100000
-775.000000	-775.000000	0.100000
-775.000000	-725.000000	0.100000
-775.000000	-675.000000	0.101675
-775.000000	-625.000000	0.100000
-775.000000	-575.000000	0.100000
-775.000000	-525.000000	0.100000
-775.000000	-475.000000	0.106138
-775.000000	-425.000000	0.091382
-775.000000	-375.000000	0.053125
-775.000000	-325.000000	-0.016692
-775.000000	-275.000000	0.001109
-775.000000	725.000000	-5.000000
-775.000000	775.000000	-0.823627
-775.000000	825.000000	-0.067218
-775.000000	875.000000	0.100000
-775.000000	925.000000	0.100000
-775.000000	975.000000	0.100000
-775.000000	1025.000000	0.100000
-775.000000	1075.000000	0.100000
-775.000000	1125.000000	0.100000
-775.000000	1175.000000	0.100000
-775.000000	1225.000000	0.100000
